year,region_id,region_name,region_ons_code,road_category_id,road_category_name,link_length_km,link_length_miles,all_motor_vehicles
1999,11,North East,E12000001,2,PM,2.4,1.49,34800000
1999,11,North East,E12000001,3,TA,437.5,271.85,2342400000
1999,11,North East,E12000001,4,PA,1318.3,819.15,3460700000
1999,11,North East,E12000001,5,M,14203,8825.34,5068200000
2000,1,South West,E12000009,1,TM,326.8,203.06,4521100000
2000,1,South West,E12000009,3,TA,999.3,620.94,4132600000
2000,1,South West,E12000009,4,PA,3927.1,2440.19,8633700000
2000,1,South West,E12000009,5,M,44129.5,27420.8,10069300000
2000,2,East Midlands,E12000004,1,TM,193.7,120.36,3730200000
2000,2,East Midlands,E12000004,3,TA,1210.8,752.36,5582200000
2000,2,East Midlands,E12000004,4,PA,2624.66,1630.89,6220300000
2000,2,East Midlands,E12000004,5,M,27074.3,16823.19,7784900000
2000,3,Scotland,S92000003,1,TM,385.29,239.41,3358300000
2000,3,Scotland,S92000003,3,TA,2811.97,1747.28,5543300000
2000,3,Scotland,S92000003,4,PA,7482.01,4649.11,7185200000
2000,3,Scotland,S92000003,5,M,48552.8,30169.31,8345000000
2000,4,Wales,W92000004,1,TM,141.3,87.8,1746200000
2000,4,Wales,W92000004,3,TA,1539.5,956.6,3522600000
2000,4,Wales,W92000004,4,PA,2607.29,1620.09,4399200000
2000,4,Wales,W92000004,5,M,28664.9,17811.54,5702600000
2000,5,North West,E12000002,1,TM,600.2,372.95,9294700000
2000,5,North West,E12000002,2,PM,23.7,14.73,217100000
2000,5,North West,E12000002,3,TA,826.83,513.77,3012800000
2000,5,North West,E12000002,4,PA,3168.28,1968.68,9079700000
2000,5,North West,E12000002,5,M,31911.4,19828.82,10921500000
2000,6,London,E12000007,1,TM,65.6,40.76,1475800000
2000,6,London,E12000007,3,TA,319.2,198.34,4150300000
2000,6,London,E12000007,4,PA,1396,867.43,7234100000
2000,6,London,E12000007,5,M,12823,7967.84,7428200000
2000,7,East of England,E12000006,1,TM,263.3,163.61,4855700000
2000,7,East of England,E12000006,3,TA,1138.47,707.41,6796400000
2000,7,East of England,E12000006,4,PA,2755.43,1712.14,8325000000
2000,7,East of England,E12000006,5,M,35065.2,21788.51,12049400000
2000,8,Yorkshire and the Humber,E12000003,1,TM,361.8,224.81,5021800000
2000,8,Yorkshire and the Humber,E12000003,2,PM,3.5,2.17,53500000
2000,8,Yorkshire and the Humber,E12000003,3,TA,702.95,436.79,3323200000
2000,8,Yorkshire and the Humber,E12000003,4,PA,2602.23,1616.95,6958900000
2000,8,Yorkshire and the Humber,E12000003,5,M,27904.6,17339.11,8536000000
2000,9,South East,E12000008,1,TM,644.4,400.41,12938500000
2000,9,South East,E12000008,2,PM,10.6,6.59,167600000
2000,9,South East,E12000008,3,TA,875.6,544.07,6587300000
2000,9,South East,E12000008,4,PA,4330.38,2690.77,14313100000
2000,9,South East,E12000008,5,M,41449.5,25755.53,16671700000
2000,10,West Midlands,E12000005,1,TM,381.7,237.18,6805700000
2000,10,West Midlands,E12000005,2,PM,4.3,2.67,82600000
2000,10,West Midlands,E12000005,3,TA,838.7,521.14,3640100000
2000,10,West Midlands,E12000005,4,PA,2694.69,1674.4,7138200000
2000,10,West Midlands,E12000005,5,M,28355.3,17619.17,10680300000
2000,11,North East,E12000001,1,TM,55.6,34.55,586000000
2000,11,North East,E12000001,2,PM,2.4,1.49,33700000
2000,11,North East,E12000001,3,TA,437.5,271.85,2323100000
2000,11,North East,E12000001,4,PA,1319.8,820.09,3439100000
2000,11,North East,E12000001,5,M,14232.4,8843.6,4932700000
2001,1,South West,E12000009,1,TM,326.8,203.06,4722100000
2001,1,South West,E12000009,3,TA,999.5,621.06,4287700000
2001,1,South West,E12000009,4,PA,3927.1,2440.19,8766200000
2001,1,South West,E12000009,5,M,44208.5,27469.89,10286300000
2001,2,East Midlands,E12000004,1,TM,193.7,120.36,3854800000
2001,2,East Midlands,E12000004,3,TA,1210.8,752.36,5751100000
2001,2,East Midlands,E12000004,4,PA,2624.26,1630.64,6263300000
2001,2,East Midlands,E12000004,5,M,27126.5,16855.63,7905100000
2001,3,Scotland,S92000003,1,TM,386.49,240.15,3459300000
2001,3,Scotland,S92000003,3,TA,2811.97,1747.28,5677200000
2001,3,Scotland,S92000003,4,PA,7482.01,4649.11,7204900000
2001,3,Scotland,S92000003,5,M,48637.3,30221.82,8407200000
2001,4,Wales,W92000004,1,TM,141.3,87.8,1825400000
2001,4,Wales,W92000004,3,TA,1546.6,961.01,3591000000
2001,4,Wales,W92000004,4,PA,2631.39,1635.07,4442700000
2001,4,Wales,W92000004,5,M,28714,17842.05,5670400000
2001,5,North West,E12000002,1,TM,615.5,382.45,9770800000
2001,5,North West,E12000002,2,PM,24.1,14.98,233100000
2001,5,North West,E12000002,3,TA,826.83,513.77,3017500000
2001,5,North West,E12000002,4,PA,3165.68,1967.06,9084900000
2001,5,North West,E12000002,5,M,31984.7,19874.37,10859800000
2001,6,London,E12000007,1,TM,60.1,37.34,1339900000
2001,6,London,E12000007,4,PA,1720.8,1069.26,11466000000
